RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title 1 Status,State Senate District,State Representative District,EBF Tier,% EBF Capacity to Meet Expectations,# School Enrollment,$ Site-Level Per-Pupil Expenditures - Federal,$ Site-level Per-Pupil Expenditures - State/Local,$ Site-level PEr-Pupil Expenditures - Subtotal,$ District Centralized Per-Pupil Expenditure - Federal,$ District Centralized Per-Pupil Expenditure - State/Local,$ District Centralized Per-Pupil Expenditure - Subtotal,$ Total Per-Pupil Expenditures - Federal,$ Total Per-Pupil Expenditures - State/Local,$ Total Per-Pupil Expenditures - Subtotal,$ Exclusions,$ Total Expenditures,$ Local Property Taxes 2017-18,% Local Property Taxes 2017-18,$ Other Local Funding 2017-18,% Other Local Funding 2017-18,$ General State Aid 2017-18,% General State Aid 2017-18,$ Other State Funding 2017-18,% Other State Funding 2017-18,$ Federal Funding 2017-18,% Federal Funding 2017-18,$ Total Revenue Source 2017-18,$ EAV per Pupil 2017-18,$ Total School Tax Rate per $100 2017-18,$ Instructional Expenditure per Pupil 2017-18,$ Operating Expenditures 2017-18,$ Instruction 2017-18,% Instruction 2017-18,$ General Admin 2017-18,% General Admin 2017-18,$ Supporting Services 2017-18,% Supporting Services 2017-18,$ Other Expenditures 2017-18,% Other Expenditures 2017-18,$ Education Fund 2017-18,% Education Fund 2017-18,$ Operations/B/M 2017-18,% Operations/B/M 2017-18,$ Transportation 2017-18,% Transportation 2017-18,$ Debt Service 2017-18,% Debt Service 2017-18,$ Tort 2017-18,% Tort 2017-18,$ Munic. Ret. / Soc. Security 2017-18,% Munic. Ret. / Soc. Security 2017-18,$ Fire Prev. & Safety 2017-18,% Fire Prev. & Safety 2017-18,$ Capital Projects Fund 2017-18,% Capital Projects Fund 2017-18,$ Total Expenditures 2017-18
090101690042001,School,St Joseph Elem School,St Joseph CCSD 169,Saint Joseph,Champaign,ELEMENTARY,MEDIUM,ELEMENTARY,PK K 1 2 3 4,Commendable,All Students,Targeted Assistance Title I Program,51,102,2,71.7,454,152.6,6025.14,6177.74,144.96,2025.67,2170.63,297.56,8050.81,8348.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090101880040000,District,,Gifford CCSD 188,Gifford,Champaign,ELEMENTARY,SMALL,,,,,,,,2,77.2,186.5,224.88,10442.02,10666.9,0,209.42,209.42,224.88,10651.44,10876.32,157254,2185687.68,1338869,64.1,224969,10.8,286741,13.7,133589,6.4,104536,5,2088704,245476.09,2.64,5634.66,9899.07,1046188,52,176670,8.8,587731,29.2,203212,10.1,1454705,72.2,152758,7.6,116908,5.8,156317,7.8,37014,1.8,63431,3.1,32668,1.6,0,0,2013801
090101880042001,School,Gifford Grade School,Gifford CCSD 188,Gifford,Champaign,ELEMENTARY,SMALL,ELEMENTARY, K 1 2 3 4 5 6 7 8,Commendable,All Students,Targeted Assistance Title I Program,52,104,2,77.2,186.5,224.88,10442.02,10666.9,0,209.42,209.42,224.88,10651.44,10876.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090101930170000,District,,Rantoul Township HSD 193,Rantoul,Champaign,HIGH SCHOOL,MEDIUM,,,,,,,,1,56.9,761.25,515.326,12567.7789,13083.1049,0,480.5259,480.5259,515.326,13048.3048,13563.6308,893014.55,11218328.5,5407125,45.6,1022589,8.6,4050219,34.2,732357,6.2,645349,5.4,11857639,280836.47,2.95,8308.39,13734.82,5310721,50.1,457755,4.3,2910257,27.4,1923928,18.1,8117240,76.6,732531,6.9,397158,3.7,530260,5,149839,1.4,308299,2.9,7276,0.1,360058,3.4,10602661
090101930170001,School,Rantoul Twp High School,Rantoul Township HSD 193,Rantoul,Champaign,HIGH SCHOOL,MEDIUM,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,52,104,1,56.9,761.25,515.326,12567.7789,13083.1049,0,480.5259,480.5259,515.326,13048.3048,13563.6308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090101970040000,District,,Prairieview-Ogden CCSD 197,Royal,Champaign,ELEMENTARY,SMALL,,,,,,,,3,96.1,280,258.1804507,8697.895659,8956.07611,0,947.6307,947.6307,258.1804507,9645.526359,9903.70681,448308.68,3221346.587,2430624,72.2,396266,11.8,180428,5.4,261655,7.8,98946,2.9,3367919,312521.66,3.06,5281.99,10309.95,1301429,40.2,247742,7.7,985314,30.5,699001,21.6,1970168,60.9,360114,11.1,250086,7.7,275970,8.5,53242,1.6,99518,3.1,0,0,224388,6.9,3233486
090101970041001,School,Prairieview-Ogden Jr High Sch,Prairieview-Ogden CCSD 197,Thomasboro,Champaign,ELEMENTARY,SMALL,MIDDLE SCHL, 7 8,Exemplary,All Students,"Eligible, but Not a Participant in Title I Program",52,104,3,96.1,50,90.3115,9519.1504,9609.4619,0,947.6307,947.6307,90.3115,10466.7811,10557.0926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090101970042001,School,Prairieview-Ogden North Elem,Prairieview-Ogden CCSD 197,Royal,Champaign,ELEMENTARY,SMALL,ELEMENTARY, K 1 2 3 4,,,Targeted Assistance Title I Program,52,104,3,96.1,108,307.9194,7635.9283,7943.8477,0,947.6307,947.6307,307.9194,8583.559,8891.4784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090101970042002,School,Prairieview-Ogden South Elem,Prairieview-Ogden CCSD 197,Ogden,Champaign,ELEMENTARY,SMALL,ELEMENTARY, K 1 2 3 4 5 6,Commendable,All Students,Targeted Assistance Title I Program,51,102,3,96.1,122,282.948,9301.4181,9584.3661,0,947.6307,947.6307,282.948,10249.0488,10531.9968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090103050160000,District,,St Joseph Ogden CHSD 305,Saint Joseph,Champaign,HIGH SCHOOL,SMALL,,,,,,,,2,67.7,455.5,81.9,9128.37,9210.27,0,526.84,526.84,81.9,9655.21,9737.11,1200472.4,5635726.005,3996979,68.9,716429,12.4,933465,16.1,123778,2.1,28179,0.5,5798830,434103.95,1.99,5203.57,9686.94,2310543,40.8,345482,6.1,1623001,28.7,1380509,24.4,3409365,60.2,432094,7.6,191302,3.4,825312,14.6,164895,2.9,121291,2.1,44893,0.8,470383,8.3,5659535
090103050160001,School,St Joseph-Ogden High School,St Joseph Ogden CHSD 305,Saint Joseph,Champaign,HIGH SCHOOL,SMALL,HIGH SCHOOL, 9 10 11 12,Exemplary,All Students,Targeted Assistance Title I Program,51,102,2,67.7,455.5,81.9,9128.37,9210.27,0,526.84,526.84,81.9,9655.21,9737.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090270050260000,District,,Gibson City-Melvin-Sibley CUSD 5,Gibson City,Ford,UNIT,MEDIUM,,,,,,,,2,71.8,1008.7,0,5581.6667,5581.6667,716,4512,5228,716,10093.6667,10809.6667,9430384,20334094.8,7904059,59.8,1353924,10.2,2608003,19.7,730555,5.5,628402,4.8,13224943,136135.34,4.12,6354.32,11397.2,5818397,48.7,1009825,8.5,3379221,28.3,1728862,14.5,8547336,71.6,907184,7.6,691266,5.8,661170,5.5,657353,5.5,325151,2.7,595,0,146250,1.2,11936305
090270050260001,School,GCMS High School,Gibson City-Melvin-Sibley CUSD 5,Gibson City,Ford,UNIT,MEDIUM,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,53,106,2,71.8,300.6,0,5924,5924,716,4512,5228,716,10436,11152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090270050261003,School,GCMS Middle School,Gibson City-Melvin-Sibley CUSD 5,Gibson City,Ford,UNIT,MEDIUM,MIDDLE SCHL, 6 7 8,Commendable,All Students,Schoolwide Title I Program,53,106,2,71.8,231.1,0,6048,6048,716,4512,5228,716,10560,11276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090270050262004,School,GCMS Elementary School,Gibson City-Melvin-Sibley CUSD 5,Gibson City,Ford,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3 4 5,Commendable,All Students,Schoolwide Title I Program,53,106,2,71.8,477,0,5140,5140,716,4512,5228,716,9652,10368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090270100260000,District,,Paxton-Buckley-Loda CUD 10,Paxton,Ford,UNIT,MEDIUM,,,,,,,,2,69,1353.51,227.835926,7241.999407,7469.835333,544.135406,2854.76,3398.895406,771.971332,10096.75941,10868.73074,18318270.86,33029206.6,7019223,49.5,821301,5.8,4083659,28.8,1209354,8.5,1050908,7.4,14184445,128433.29,6.24,5900.89,11472.93,7355463,37.9,556747,2.9,4653778,24,6824412,35.2,11491637,59.3,737665,3.8,822104,4.2,2888306,14.9,210957,1.1,369127,1.9,1860,0,2868744,14.8,19390400
090270100260001,School,Paxton-Buckley-Loda High School,Paxton-Buckley-Loda CUD 10,Paxton,Ford,UNIT,MEDIUM,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",53,106,2,69,460.51,42.92,7778.25,7821.17,543.84,2854.76,3398.6,586.76,10633.01,11219.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090270100261002,School,Paxton-Buckley-Loda Jr High Sch,Paxton-Buckley-Loda CUD 10,Paxton,Ford,UNIT,MEDIUM,MIDDLE SCHL, 6 7 8,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",53,106,2,69,292.5,0,8658.6,8658.6,544.31,2854.76,3399.07,544.31,11513.36,12057.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090270100262004,School,Clara Peterson Elem School,Paxton-Buckley-Loda CUD 10,Paxton,Ford,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3 4 5,Commendable,All Students,Schoolwide Title I Program,53,106,2,69,330.5,436.63,5834.22,6270.85,544.16,2854.76,3398.92,980.79,8688.98,9669.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090270100262005,School,PBL Eastlawn,Paxton-Buckley-Loda CUD 10,Paxton,Ford,UNIT,MEDIUM,ELEMENTARY, 3 4 5,,,Schoolwide Title I Program,53,106,2,69,270,534.47,6515.95,7050.42,544.42,2854.76,3399.18,1078.89,9370.71,10449.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11012002C260000,District,,Marshall CUSD 2C,Marshall,Clark,UNIT,MEDIUM,,,,,,,,1,63.6,1286.215,380.4120504,3937.713669,4318.125719,200.147361,3854.250074,4054.397435,580.5594114,7791.963743,8372.523154,1745405.4,12514270.27,4430222,36,424641,3.5,5713703,46.5,902872,7.3,821595,6.7,12293033,93036.08,3.69,4397.16,8808.48,5373900,38.2,1373052,9.8,3745513,26.6,3572743,25.4,9109305,64.8,1552398,11,686624,4.9,2062727,14.7,198414,1.4,348874,2.5,106866,0.8,0,0,14065208
11012002C260001,School,Marshall High School,Marshall CUSD 2C,Marshall,Clark,UNIT,MEDIUM,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",55,110,1,63.6,380.5,76.1448,5497.5185,5573.6633,195.8551,3876.3932,4072.2483,271.9999,9373.9117,9645.9116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11012002C261002,School,Marshall Jr High School,Marshall CUSD 2C,Marshall,Clark,UNIT,MEDIUM,MIDDLE SCHL, 7 8,Underperforming,CWD,"Eligible, but Not a Participant in Title I Program",55,110,1,63.6,202.015,75.8759,3326.6924,3402.5683,195.8551,3876.3939,4072.249,271.731,7203.0863,7474.8173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11012002C262003,School,North Elem School,Marshall CUSD 2C,Marshall,Clark,UNIT,MEDIUM,ELEMENTARY, 3 4 5 6,Commendable,All Students,Schoolwide Title I Program,55,110,1,63.6,396,630.8907,3145.1636,3776.0543,203.7513,3845.3395,4049.0908,834.642,6990.5031,7825.1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11012002C262005,School,South Elem School,Marshall CUSD 2C,Marshall,Clark,UNIT,MEDIUM,ELEMENTARY,PK K 1 2,Commendable,All Students,Schoolwide Title I Program,55,110,1,63.6,307.7,634.247,3430.0099,4064.2569,203.635,3823.7975,4027.4325,837.882,7253.8074,8091.6894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11012003C260000,District,,Martinsville CUSD 3C,Martinsville,Clark,UNIT,SMALL,,,,,,,,1,62.3,409.1,364.6525788,6523.783451,6888.43603,106.7487411,3346.272965,3453.021706,471.40132,9870.056417,10341.45774,427253.56,4657943.92,1479313,34.8,107421,2.5,2015044,47.4,333297,7.8,319538,7.5,4254613,81856.21,4.49,5083.03,10065.34,1910611,44.4,474202,11,1413139,32.8,509027,11.8,3030118,70.4,106232,2.5,362110,8.4,249391,5.8,266864,6.2,115530,2.7,26877,0.6,149857,3.5,4306979
11012003C260001,School,Martinsville Jr-Sr High School,Martinsville CUSD 3C,Martinsville,Clark,UNIT,SMALL,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",55,110,1,62.3,169.05,100.6563147,7567.453771,7668.110086,113.7912941,3357.412413,3471.203707,214.4476088,10924.86618,11139.31379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11012003C262005,School,Martinsville Elem School,Martinsville CUSD 3C,Martinsville,Clark,UNIT,SMALL,ELEMENTARY,PK K 1 2 3 4 5 6,Commendable,All Students,Schoolwide Title I Program,55,110,1,62.3,240.05,550.5662154,5788.801291,6339.367507,101.7891762,3338.428251,3440.217427,652.3553915,9127.229542,9779.584934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11012004C260000,District,,Casey-Westfield CUSD 4C,Casey,Clark,UNIT,MEDIUM,,,,,,,,1,63.1,848.22,312.1865569,5652.093436,5964.279993,720.7761005,3656.133798,4376.909898,1032.962657,9308.227234,10341.18989,699917.36,9471521.45,3820685,39.2,389248,4,4013214,41.2,686010,7,840706,8.6,9749863,95339.61,4.72,5527.75,10638.56,4393179,44.4,719891,7.3,3130329,31.7,1646248,16.6,5935855,60,1137247,11.5,591236,6,1011831,10.2,545247,5.5,345352,3.5,258531,2.6,64348,0.7,9889647
11012004C260001,School,Casey-Westfield Jr/Sr HS,Casey-Westfield CUSD 4C,Casey,Clark,UNIT,MEDIUM,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",55,110,1,63.1,383.8,0,6362.11,6362.11,732.62,3515.86,4248.48,732.62,9877.97,10610.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11012004C262003,School,Monroe Elem School,Casey-Westfield CUSD 4C,Casey,Clark,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3 4 5 6,Commendable,All Students,Schoolwide Title I Program,55,110,1,63.1,445.52,473.2044,5220.28,5693.4844,741.15,3556.75,4297.9,1214.3544,8777.03,9991.3844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150010260000,District,,Charleston CUSD 1,Charleston,Coles,UNIT,LARGE,,,,,,,,1,63.8,2681,64.69787393,4929.721,4994.418874,55,3944.380082,3999.380082,119.6978739,8874.101082,8993.798956,1974355,26086730,14083773,48.8,3019034,10.5,7671495,26.6,2158449,7.5,1921709,6.7,28854460,132041.56,4.1,5135.52,9148.19,12194444,50,838762,3.4,9386202,38.5,1951862,8,19005882,78,2057193,8.4,2368595,9.7,0,0,0,0,552705,2.3,10930,0,375965,1.5,24371270
110150010260001,School,Charleston High School,Charleston CUSD 1,Charleston,Coles,UNIT,LARGE,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",55,110,1,63.8,825,30,5362,5392,55,4096,4151,85,9458,9543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150010261002,School,Charleston Middle School,Charleston CUSD 1,Charleston,Coles,UNIT,LARGE,MIDDLE SCHL, 7 8,Commendable,All Students,Targeted Assistance Title I Program,55,110,1,63.8,384,78,5849,5927,55,3483,3538,133,9332,9465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150010262003,School,Carl Sandburg Elem School,Charleston CUSD 1,Charleston,Coles,UNIT,LARGE,ELEMENTARY, K 1 2 3,Commendable,All Students,Targeted Assistance Title I Program,55,110,1,63.8,514,98,4885,4983,55,3993,4048,153,8878,9031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150010262004,School,Jefferson Elem School,Charleston CUSD 1,Charleston,Coles,UNIT,LARGE,ELEMENTARY,PK 4 5 6,Underperforming,"CWD, Multiracial",Targeted Assistance Title I Program,55,110,1,63.8,644,86,3526,3612,55,3959,4014,141,7485,7626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150010262006,School,Mark Twain Elem School,Charleston CUSD 1,Charleston,Coles,UNIT,LARGE,ELEMENTARY,PK K,,,Targeted Assistance Title I Program,55,110,1,63.8,213,43,5537,5580,55,4001,4056,98,9538,9636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150010262007,School,Ashmore Elem School,Charleston CUSD 1,Ashmore,Coles,UNIT,LARGE,ELEMENTARY, K 1 2 3 4,Commendable,All Students,Targeted Assistance Title I Program,55,110,1,63.8,101,38,5801,5839,55,4000,4055,93,9801,9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150020260000,District,,Mattoon CUSD 2,Mattoon,Coles,UNIT,LARGE,,,,,,,,1,62.9,3162.86,0,5816.48415,5816.48415,42.91251905,4572.800121,4615.71264,42.91251905,10389.28427,10432.19679,3629235,36624812.94,17170314,44.6,2147944,5.6,13633533,35.4,2922668,7.6,2665517,6.9,38539976,101979.39,4.17,5866.67,10323.51,18486117,51.7,1842547,5.1,11955130,33.4,3498305,9.8,27428511,76.7,2874353,8,1764200,4.9,2531249,7.1,0,0,1183786,3.3,0,0,0,0,35782099
110150020260001,School,Mattoon High School,Mattoon CUSD 2,Mattoon,Coles,UNIT,LARGE,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",55,110,1,62.9,991.95,0,6953,6953,38,4147,4185,38,11100,11138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150020261003,School,Mattoon Middle School,Mattoon CUSD 2,Mattoon,Coles,UNIT,LARGE,MIDDLE SCHL, 6 7 8,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",55,110,1,62.9,758.4,0,6053,6053,38,3861,3899,38,9914,9952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150020262015,School,Arland D Williams Jr Elem Sch,Mattoon CUSD 2,Mattoon,Coles,UNIT,LARGE,ELEMENTARY, K 1 2 3 4 5,Commendable,All Students,Schoolwide Title I Program,55,110,1,62.9,663.01,0,5301,5301,49,5254,5303,49,10555,10604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150020262016,School,Riddle Elementary School,Mattoon CUSD 2,Mattoon,Coles,UNIT,LARGE,ELEMENTARY, K 1 2 3 4 5,Commendable,All Students,Schoolwide Title I Program,55,110,1,62.9,749.5,0,4529,4529,49,5254,5303,49,9783,9832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150020263009,School,Franklin Elementary School,Mattoon CUSD 2,Mattoon,Coles,UNIT,LARGE,,PK,,,,55,110,1,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150050260000,District,,Oakland CUSD 5,Oakland,Coles,UNIT,SMALL,,,,,,,,2,81.5,262.14,0,5495.734551,5495.734551,0,7509.772543,7509.772543,0,13005.50709,13005.50709,285923.22,3695186.85,2065979,58.2,241400,6.8,799912,22.5,261718,7.4,183759,5.2,3552768,160502.9,5.32,6348.31,12739.77,1472555,46.4,350472,11.1,1003318,31.6,344513,10.9,2146900,67.7,172235,5.4,278581,8.8,253771,8,226837,7.2,92534,2.9,0,0,0,0,3170858
110150050260002,School,Oakland High School,Oakland CUSD 5,Oakland,Coles,UNIT,SMALL,HIGH SCHOOL, 9 10 11 12,,,"Eligible, but Not a Participant in Title I Program",55,110,2,81.5,73.82,0,9127.6267,9127.6267,0,7981.7214,7981.7214,0,17109.3481,17109.3481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150050262001,School,Lake Crest Elem School,Oakland CUSD 5,Oakland,Coles,UNIT,SMALL,ELEMENTARY,PK K 1 2 3 4 5 6 7 8,Commendable,All Students,Targeted Assistance Title I Program,55,110,2,81.5,188.32,0,4072.0606,4072.0606,0,7324.7722,7324.7722,0,11396.8328,11396.8328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110180030260000,District,,Neoga CUSD 3,Neoga,Cumberland,UNIT,MEDIUM,,,,,,,,2,72.9,586,447.9645453,5516.135915,5964.10046,63.7783,3020.9642,3084.7425,511.7428453,8537.100115,9048.84296,724739.38,6027361.355,2878346,42.9,559762,8.3,2418453,36,343702,5.1,514667,7.7,6714930,129941.33,3.99,4926.62,9472.59,2601844,42.3,358315,5.8,2007784,32.7,1177820,19.2,3989806,64.9,951631,15.5,302871,4.9,548292,8.9,143923,2.3,204190,3.3,5050,0.1,0,0,6145763
110180030260001,School,Neoga Jr/Sr High School,Neoga CUSD 3,Neoga,Cumberland,UNIT,MEDIUM,HIGH SCHOOL, 6 7 8 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,55,110,2,72.9,332.5,410.667,5665.3622,6076.0292,63.7783,3020.9642,3084.7425,474.4453,8686.3264,9160.7717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110180030262002,School,Neoga Elementary School,Neoga CUSD 3,Neoga,Cumberland,UNIT,MEDIUM,ELEMENTARY, K 1 2 3 4 5,Commendable,All Students,Schoolwide Title I Program,55,110,2,72.9,233,505.0022,5688.7635,6193.7657,63.7783,3020.9642,3084.7425,568.7805,8709.7277,9278.5082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110180030263001,School,Neoga Early Childhood Center,Neoga CUSD 3,Neoga,Cumberland,UNIT,MEDIUM,PreK,PK,,,,55,110,2,72.9,20.5,404.6309,1133.6985,1538.3294,63.7783,3020.9642,3084.7425,468.4092,4154.6627,4623.0719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110180770260000,District,,Cumberland CUSD 77,Toledo,Cumberland,UNIT,MEDIUM,,,,,,,,1,61.9,1040.01,384.1806179,6321.968863,6706.149481,0,1848.596475,1848.596475,384.1806179,8170.565338,8554.745956,469764.24,9366785.581,3297607,33.9,585801,6,4641502,47.7,642553,6.6,561378,5.8,9728841,81035.68,4.09,5014.17,8304.53,4775041,55.3,405017,4.7,2701941,31.3,745296,8.6,6273151,72.7,505596,5.9,677822,7.9,452384,5.2,281724,3.3,342853,4,93765,1.1,0,0,8627295
110180770260001,School,Cumberland High School,Cumberland CUSD 77,Toledo,Cumberland,UNIT,MEDIUM,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",55,110,1,61.9,279.4,170,8981.72,9151.72,0,1800.02,1800.02,170,10781.74,10951.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110180770261001,School,Cumberland Middle School,Cumberland CUSD 77,Toledo,Cumberland,UNIT,MEDIUM,MIDDLE SCHL, 5 6 7 8,Underperforming,CWD,Targeted Assistance Title I Program,55,110,1,61.9,323.5,161.97,5010.95,5172.92,0,1813.15,1813.15,161.97,6824.1,6986.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110180770262003,School,Cumberland Elem School,Cumberland CUSD 77,Toledo,Cumberland,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3 4,Commendable,All Students,Targeted Assistance Title I Program,55,110,1,61.9,437.11,685.54,5592.13,6277.67,0,1905.88,1905.88,685.54,7498.01,8183.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110213010260000,District,,Tuscola CUSD 301,Tuscola,Douglas,UNIT,MEDIUM,,,,,,,,2,70.1,948.5,122.3614391,9021.5765,9143.937939,0,202.8328255,202.8328255,122.3614391,9224.409325,9346.770764,1957431.35,10822843.42,7284803,67.9,1194236,11.1,1349087,12.6,608432,5.7,295482,2.8,10732040,134967.59,4.89,6070.06,9666.12,5355068,52.1,485422,4.7,2861318,27.8,1577311,15.3,6957578,67.7,656050,6.4,630652,6.1,906619,8.8,330508,3.2,194047,1.9,12955,0.1,590710,5.7,10279119
110213010260001,School,Tuscola High School,Tuscola CUSD 301,Tuscola,Douglas,UNIT,MEDIUM,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",51,102,2,70.1,286.5,0,10003.51,10003.51,0,221.55,221.55,0,10225.06,10225.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110213010261004,School,East Prairie Middle School,Tuscola CUSD 301,Tuscola,Douglas,UNIT,MEDIUM,MIDDLE SCHL, 5 6 7 8,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",51,102,2,70.1,289.5,0,9881.06,9881.06,0,224.78,224.78,0,10105.84,10105.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110213010262002,School,North Ward Elementary School,Tuscola CUSD 301,Tuscola,Douglas,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3 4,Commendable,All Students,Schoolwide Title I Program,51,102,2,70.1,372.5,311.57,7598.37,7909.94,0,171.38,171.38,311.57,7769.75,8081.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110213020260000,District,,Villa Grove CUSD 302,Villa Grove,Douglas,UNIT,MEDIUM,,,,,,,,1,63.6,660.3,0,4341.970487,4341.970487,0,4833.5928,4833.5928,0,9175.563287,9175.563287,906335.91,6964960.348,3139262,43.7,911068,12.7,2405706,33.5,374476,5.2,353564,4.9,7184076,119062.11,4.32,5171.38,9677.97,3057684,46.7,961298,14.7,1644231,25.1,886221,13.5,4375899,66.8,404429,6.2,360113,5.5,299433,4.6,821097,12.5,190350,2.9,7600,0.1,90513,1.4,6549434
110213020260001,School,Villa Grove High School,Villa Grove CUSD 302,Villa Grove,Douglas,UNIT,MEDIUM,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",51,102,1,63.6,202,0,5003.8331,5003.8331,0,4833.5928,4833.5928,0,9837.4259,9837.4259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110213020261001,School,Villa Grove Jr High School,Villa Grove CUSD 302,Villa Grove,Douglas,UNIT,MEDIUM,MIDDLE SCHL, 7 8,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",51,102,1,63.6,107.5,0,3160.6175,3160.6175,0,4833.5928,4833.5928,0,7994.2103,7994.2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
